Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1673.983987286064
FDW14,OUT017,1349.5129043321292
NCN55,OUT010,471.3068466911766
FDQ58,OUT017,2432.6625807321775
FDY38,OUT027,5041.821497446811
FDH56,OUT046,1892.0661445161297
FDL48,OUT018,790.3307954098361
FDC48,OUT027,2846.400822516556
FDN33,OUT045,1559.973640764332
FDA36,OUT017,3190.6434675824175
FDT44,OUT017,1892.0661445161297
FDQ56,OUT045,1349.5129043321292
NCC54,OUT019,471.3068466911766
FDU11,OUT049,2006.47074231975
DRL59,OUT013,790.3307954098361
FDM24,OUT049,2432.6625807321775
FDI57,OUT045,3011.525299159664
DRC12,OUT018,3011.525299159664
NCM42,OUT027,2846.400822516556
FDA46,OUT010,471.3068466911766
FDA31,OUT013,2843.569789215688
NCJ31,OUT035,3549.850947508306
FDG52,OUT046,790.3307954098361
NCL19,OUT019,207.13050352504655
FDS10,OUT035,3190.6434675824175
FDX22,OUT010,471.3068466911766
NCF19,OUT035,790.3307954098361
NCE06,OUT046,2633.8398439024395
DRC27,OUT046,3805.9486041666646
FDE21,OUT035,1892.0661445161297
NCR42,OUT019,207.13050352504655
FDX51,OUT018,3011.525299159664
NCR06,OUT018,646.0888157894736
FDU31,OUT027,5041.821497446811
FDU59,OUT017,2633.8398439024395
FDR03,OUT027,5041.821497446811
FDS49,OUT027,2846.400822516556
FDD48,OUT010,207.13050352504655
NCF18,OUT017,3011.525299159664
NCD43,OUT027,2846.400822516556
NCD54,OUT018,2117.451380327868
FDY19,OUT010,207.13050352504655
NCY54,OUT017,2843.569789215688
NCL19,OUT018,2432.6625807321775
FDP23,OUT010,471.3068466911766
FDC26,OUT013,1673.983987286064
FDR14,OUT010,207.13050352504655
NCS41,OUT035,3190.6434675824175
FDF41,OUT035,3549.850947508306
FDU34,OUT046,2117.451380327868
DRH11,OUT046,1068.506765834932
FDM03,OUT013,1673.983987286064
FDS31,OUT017,3190.6434675824175
FDJ20,OUT017,2117.451380327868
FDV44,OUT027,5041.821497446811
FDG02,OUT049,3190.6434675824175
FDA09,OUT013,2843.569789215688
FDT04,OUT013,646.0888157894736
FDL58,OUT019,471.3068466911766
FDE52,OUT045,1349.5129043321292
FDW12,OUT035,2432.6625807321775
FDL51,OUT017,3805.9486041666646
NCY42,OUT027,2846.400822516556
FDR07,OUT017,1559.973640764332
FDN40,OUT045,2432.6625807321775
FDB35,OUT027,2846.400822516556
FDA22,OUT017,2633.8398439024395
NCL06,OUT046,4125.17447454068
FDI35,OUT013,3190.6434675824175
NCW42,OUT045,3805.9486041666646
NCX06,OUT049,2843.569789215688
FDC37,OUT027,2846.400822516556
FDZ14,OUT018,2006.47074231975
DRG49,OUT049,3549.850947508306
NCG06,OUT045,4125.17447454068
DRC36,OUT045,2843.569789215688
FDV21,OUT019,207.13050352504655
FDB53,OUT046,2432.6625807321775
DRP47,OUT019,471.3068466911766
FDA14,OUT013,2432.6625807321775
DRC24,OUT035,2432.6625807321775
FDW21,OUT018,1559.973640764332
NCH29,OUT046,1559.973640764332
FDU58,OUT013,3190.6434675824175
FDY27,OUT017,2843.569789215688
FDV56,OUT035,1673.983987286064
FDT59,OUT046,3805.9486041666646
FDB23,OUT046,3805.9486041666646
FDR49,OUT045,790.3307954098361
FDB03,OUT010,471.3068466911766
FDN39,OUT045,2633.8398439024395
FDX02,OUT027,5041.821497446811
FDQ16,OUT027,2846.400822516556
FDU35,OUT018,1559.973640764332
NCT29,OUT013,2006.47074231975
FDZ27,OUT046,790.3307954098361
FDN57,OUT017,2117.451380327868
FDA03,OUT018,2432.6625807321775
FDZ36,OUT045,3190.6434675824175
NCU05,OUT013,1349.5129043321292
FDT39,OUT018,2432.6625807321775
FDK60,OUT017,1559.973640764332
FDZ25,OUT017,2633.8398439024395
FDG12,OUT046,2006.47074231975
DRB01,OUT019,471.3068466911766
NCC43,OUT027,5041.821497446811
FDX13,OUT019,471.3068466911766
FDM22,OUT049,1068.506765834932
FDJ03,OUT027,790.3307954098361
FDU14,OUT018,4125.17447454068
FDB33,OUT010,471.3068466911766
FDP27,OUT046,3011.525299159664
FDO38,OUT010,207.13050352504655
FDE28,OUT027,5041.821497446811
FDO27,OUT035,1559.973640764332
DRL23,OUT027,2846.400822516556
FDS28,OUT046,1068.506765834932
FDX24,OUT013,1349.5129043321292
FDZ02,OUT035,1559.973640764332
FDL46,OUT045,1892.0661445161297
FDS60,OUT027,5041.821497446811
NCO06,OUT017,646.0888157894736
FDO16,OUT035,1349.5129043321292
FDC60,OUT049,1349.5129043321292
FDA48,OUT018,3549.850947508306
FDZ36,OUT027,5041.821497446811
FDK27,OUT045,2006.47074231975
FDW23,OUT018,646.0888157894736
FDM14,OUT018,1673.983987286064
FDM14,OUT013,1673.983987286064
FDW60,OUT018,2843.569789215688
FDE21,OUT013,1892.0661445161297
NCM42,OUT035,1673.983987286064
FDY59,OUT010,207.13050352504655
DRI49,OUT049,1349.5129043321292
FDT28,OUT019,471.3068466911766
FDQ22,OUT018,646.0888157894736
FDR60,OUT049,1349.5129043321292
FDC50,OUT019,207.13050352504655
FDV24,OUT013,2432.6625807321775
DRF48,OUT010,471.3068466911766
FDQ47,OUT046,646.0888157894736
DRN36,OUT049,1559.973640764332
NCY06,OUT035,2117.451380327868
FDE52,OUT035,1349.5129043321292
NCB54,OUT045,2006.47074231975
NCF31,OUT035,2432.6625807321775
FDJ08,OUT027,5041.821497446811
NCC07,OUT017,1673.983987286064
NCD19,OUT027,1068.506765834932
FDL46,OUT049,1892.0661445161297
FDM20,OUT045,3805.9486041666646
NCI06,OUT010,471.3068466911766
DRM11,OUT035,4125.17447454068
NCH07,OUT018,2633.8398439024395
FDS23,OUT013,2006.47074231975
FDO49,OUT018,790.3307954098361
FDS35,OUT049,1068.506765834932
DRK39,OUT045,1349.5129043321292
DRI39,OUT049,1068.506765834932
FDV04,OUT017,2633.8398439024395
NCN14,OUT035,3190.6434675824175
FDH08,OUT013,3805.9486041666646
FDS20,OUT046,3190.6434675824175
FDV40,OUT049,1068.506765834932
FDZ48,OUT010,207.13050352504655
FDS24,OUT027,2846.400822516556
FDK44,OUT049,2843.569789215688
FDS48,OUT045,2432.6625807321775
FDK26,OUT010,471.3068466911766
FDD23,OUT045,3190.6434675824175
NCH54,OUT017,2633.8398439024395
NCP14,OUT010,207.13050352504655
FDM60,OUT010,207.13050352504655
FDV24,OUT017,2432.6625807321775
FDH08,OUT018,3805.9486041666646
FDS12,OUT027,2846.400822516556
FDR39,OUT027,5041.821497446811
FDP12,OUT027,646.0888157894736
DRF60,OUT027,5041.821497446811
FDC09,OUT035,1673.983987286064
FDF50,OUT018,3011.525299159664
FDG28,OUT035,3805.9486041666646
NCE19,OUT017,1068.506765834932
NCM53,OUT010,207.13050352504655
NCN18,OUT049,1673.983987286064
FDF32,OUT035,3011.525299159664
FDF11,OUT013,3805.9486041666646
DRI59,OUT049,3805.9486041666646
NCG54,OUT035,2633.8398439024395
FDM44,OUT046,1559.973640764332
FDT57,OUT018,3805.9486041666646
FDV24,OUT046,2432.6625807321775
FDI50,OUT019,471.3068466911766
FDS09,OUT035,790.3307954098361
NCC31,OUT027,5041.821497446811
FDQ07,OUT019,471.3068466911766
FDC22,OUT017,3011.525299159664
FDZ56,OUT046,2633.8398439024395
FDZ40,OUT019,207.13050352504655
FDS46,OUT027,2846.400822516556
DRD24,OUT045,2117.451380327868
FDV45,OUT017,3190.6434675824175
FDL26,OUT045,2432.6625807321775
FDA56,OUT018,2006.47074231975
FDN27,OUT046,1892.0661445161297
FDM20,OUT049,3805.9486041666646
FDO16,OUT017,1349.5129043321292
FDL03,OUT035,3011.525299159664
FDE58,OUT046,1892.0661445161297
FDI02,OUT027,2846.400822516556
NCC55,OUT019,207.13050352504655
FDR03,OUT018,3805.9486041666646
FDB14,OUT017,1349.5129043321292
FDR45,OUT013,3805.9486041666646
NCN07,OUT017,2117.451380327868
FDM51,OUT019,207.13050352504655
FDT52,OUT027,5041.821497446811
FDL26,OUT046,2432.6625807321775
NCZ42,OUT046,3805.9486041666646
DRI47,OUT019,471.3068466911766
FDW40,OUT013,2117.451380327868
FDN34,OUT046,2633.8398439024395
FDS01,OUT035,2843.569789215688
NCG55,OUT045,1892.0661445161297
FDC11,OUT035,1349.5129043321292
FDX35,OUT018,3549.850947508306
NCB06,OUT046,2633.8398439024395
FDR09,OUT019,471.3068466911766
FDC53,OUT017,1559.973640764332
