Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.5360478332032
FDW14,OUT017,1472.8167043467586
NCN55,OUT010,1875.6528589429008
FDQ58,OUT017,2593.644690497183
FDY38,OUT027,5181.5583413617105
FDH56,OUT046,1929.5441416826507
FDL48,OUT018,599.5592527786719
FDC48,OUT027,2785.3745282492546
FDN33,OUT045,1511.6729585743778
FDA36,OUT017,3092.9329396196877
FDT44,OUT017,1990.6522548427938
FDQ56,OUT045,1310.7967501522767
NCC54,OUT019,1850.4204701724516
FDU11,OUT049,2056.455326474125
DRL59,OUT013,863.1820557160006
FDM24,OUT049,2560.9554667923826
FDI57,OUT045,3082.6540637653375
DRC12,OUT018,2761.7726897086304
NCM42,OUT027,3198.637824504157
FDA46,OUT010,1127.5311707592334
FDA31,OUT013,2802.4651769243055
NCJ31,OUT035,3868.440108961405
FDG52,OUT046,772.0289774361465
NCL19,OUT019,368.8062044770194
FDS10,OUT035,3021.160300067589
FDX22,OUT010,1470.3870733970523
NCF19,OUT035,925.6346340875652
NCE06,OUT046,2538.1832227604345
DRC27,OUT046,3849.8267853622365
FDE21,OUT035,2000.19836041496
NCR42,OUT019,-1358.4488756681453
FDX51,OUT018,2876.745245803824
NCR06,OUT018,433.68143720514104
FDU31,OUT027,4953.875894249836
FDU59,OUT017,2713.040766777568
FDR03,OUT027,4762.006320803974
FDS49,OUT027,2755.2540326824674
FDD48,OUT010,-65.53169856750594
NCF18,OUT017,3113.6486471358
NCD43,OUT027,3104.464323311423
NCD54,OUT018,1992.4352624736443
FDY19,OUT010,-65.81468751895102
NCY54,OUT017,2808.879034331628
NCL19,OUT018,2022.6901783157032
FDP23,OUT010,1539.0815568268529
FDC26,OUT013,1818.5202771082636
FDR14,OUT010,-1044.991023159877
NCS41,OUT035,3030.2701837270383
FDF41,OUT035,4044.523244064855
FDU34,OUT046,1996.780386548353
DRH11,OUT046,930.5954574331338
FDM03,OUT013,1732.6542618981293
FDS31,OUT017,3030.857134960189
FDJ20,OUT017,2096.2864159704004
FDV44,OUT027,4497.76426373158
FDG02,OUT049,3114.131068251989
FDA09,OUT013,2949.950556137353
FDT04,OUT013,642.2535009714676
FDL58,OUT019,2291.6205244411185
FDE52,OUT045,1450.8800550785297
FDW12,OUT035,2514.140923824874
FDL51,OUT017,3553.635466079022
NCY42,OUT027,3695.0472364586985
FDR07,OUT017,1660.656767218673
FDN40,OUT045,2364.0621636862684
FDB35,OUT027,2960.5725746564976
FDA22,OUT017,2787.4059721580193
NCL06,OUT046,4112.721823910701
FDI35,OUT013,2916.771378794195
NCW42,OUT045,3409.653943681631
NCX06,OUT049,2943.1713043757227
FDC37,OUT027,3202.2778208844443
FDZ14,OUT018,1741.1222608153091
DRG49,OUT049,3956.8585892299425
