Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1656.7948598840032
FDW14,OUT017,1374.5612041900729
NCN55,OUT010,597.3561479909199
FDQ58,OUT017,2463.026726015415
FDY38,OUT027,6229.8033769167905
FDH56,OUT046,1965.8627829487473
FDL48,OUT018,730.7477995719014
FDC48,OUT027,2173.2785499376096
FDN33,OUT045,1502.7346155704645
FDA36,OUT017,3074.6161435832237
FDT44,OUT017,1968.452207984613
FDQ56,OUT045,1368.8156204257248
NCC54,OUT019,590.4434372974752
FDU11,OUT049,2028.697516261476
DRL59,OUT013,782.4581552964996
FDM24,OUT049,2459.9748299687317
FDI57,OUT045,3043.957163705183
DRC12,OUT018,2945.079753497192
NCM42,OUT027,2938.7462641818024
FDA46,OUT010,498.41215445677136
FDA31,OUT013,2901.0564908814845
NCJ31,OUT035,3862.9668440743217
FDG52,OUT046,750.7932165908351
NCL19,OUT019,300.2450651943576
FDS10,OUT035,2999.9203316686976
FDX22,OUT010,559.0417771867102
NCF19,OUT035,752.4187246149238
NCE06,OUT046,2529.6911224357505
DRC27,OUT046,3944.1318799243563
FDE21,OUT035,1982.9241960804436
NCR42,OUT019,90.6280266000397
FDX51,OUT018,2992.48145303851
NCR06,OUT018,600.6499917586232
FDU31,OUT027,5525.832198048734
FDU59,OUT017,2538.707971078433
FDR03,OUT027,5517.0389644786055
FDS49,OUT027,2197.3725735565463
FDD48,OUT010,257.9269943044446
NCF18,OUT017,3036.161004464997
NCD43,OUT027,2544.033662143634
NCD54,OUT018,2044.5373520329938
FDY19,OUT010,262.16968170457
NCY54,OUT017,2903.480537860579
NCL19,OUT018,2401.253751186799
FDP23,OUT010,562.3246021782393
FDC26,OUT013,1753.6162860329828
FDR14,OUT010,161.4952117590763
NCS41,OUT035,3114.5852865152788
FDF41,OUT035,3932.6997142408513
FDU34,OUT046,2045.5229955184416
DRH11,OUT046,861.2071834808447
FDM03,OUT013,1651.0832436878088
FDS31,OUT017,3047.8937390913993
FDJ20,OUT017,2030.0725331998322
FDV44,OUT027,5110.682642900486
FDG02,OUT049,3114.472933398306
FDA09,OUT013,2996.3672904708505
FDT04,OUT013,616.3693106507104
FDL58,OUT019,585.9416817641387
FDE52,OUT045,1395.6316627522656
FDW12,OUT035,2506.679505760889
FDL51,OUT017,3699.900178219201
NCY42,OUT027,3354.4434797701742
FDR07,OUT017,1526.812057706812
FDN40,OUT045,2458.6727149323565
FDB35,OUT027,2561.7846805882027
FDA22,OUT017,2548.0476318830233
NCL06,OUT046,4160.907142968348
FDI35,OUT013,3047.4524123861115
NCW42,OUT045,3726.731477554162
NCX06,OUT049,3014.2178015946374
FDC37,OUT027,2544.033662143634
FDZ14,OUT018,1898.5025143246528
DRG49,OUT049,3961.048367004513
NCG06,OUT045,4060.597688337095
DRC36,OUT045,2901.6216274611925
FDV21,OUT019,297.8402464171926
FDB53,OUT046,2516.4709947122487
DRP47,OUT019,590.4434372974752
FDA14,OUT013,2500.0302137699573
DRC24,OUT035,2531.941259138502
FDW21,OUT018,1607.847760408956
NCH29,OUT046,1530.0232076983561
FDU58,OUT013,3085.4888505992853
FDY27,OUT017,2904.8279556748853
FDV56,OUT035,1656.7948598840032
FDT59,OUT046,3863.372967872449
FDB23,OUT046,3718.4427586453294
FDR49,OUT045,748.9076124300238
FDB03,OUT010,600.4999875562864
FDN39,OUT045,2623.7257444273628
FDX02,OUT027,5818.921484925996
FDQ16,OUT027,2544.033662143634
FDU35,OUT018,1521.5418112960926
NCT29,OUT013,2028.8821900580688
FDZ27,OUT046,750.7932165908351
FDN57,OUT017,2051.6309272635667
FDA03,OUT018,2403.3572675956475
FDZ36,OUT045,3062.2977924862457
NCU05,OUT013,1316.0185744617875
FDT39,OUT018,2335.4961490401706
FDK60,OUT017,1526.812057706812
FDZ25,OUT017,2812.7545566469034
FDG12,OUT046,2075.905048379631
DRB01,OUT019,505.6785568249495
NCC43,OUT027,6246.709598794818
FDX13,OUT019,577.3314883464279
FDM22,OUT049,830.7392498948033
FDJ03,OUT027,1248.2139600477776
FDU14,OUT018,3630.7373995087896
FDB33,OUT010,377.699815138192
FDP27,OUT046,3084.6186293168435
FDO38,OUT010,176.49282088969596
FDE28,OUT027,6234.532326484897
FDO27,OUT035,1496.6605262495377
DRL23,OUT027,2544.033662143634
FDS28,OUT046,861.2071834808447
FDX24,OUT013,1437.949868304241
FDZ02,OUT035,1517.137017442881
FDL46,OUT045,1932.2615499158962
FDS60,OUT027,4924.852412167463
NCO06,OUT017,601.88661843282
FDO16,OUT035,1359.4465322931255
FDC60,OUT049,1379.606134855575
FDA48,OUT018,3330.3493838474074
FDZ36,OUT027,5115.841544807097
FDK27,OUT045,2036.8651459195078
FDW23,OUT018,591.6136112641228
FDM14,OUT018,1688.9652023600293
FDM14,OUT013,1653.8332317817978
FDW60,OUT018,2822.0362023488296
FDE21,OUT013,1973.7495319195953
NCM42,OUT035,1656.7948598840032
FDY59,OUT010,211.17108950932735
DRI49,OUT049,1305.8961601672206
FDT28,OUT019,336.7364122407155
FDQ22,OUT018,591.6136112641228
FDR60,OUT049,1261.8482662083698
FDC50,OUT019,237.580630442156
FDV24,OUT013,2425.575727634123
DRF48,OUT010,477.8316192848402
FDQ47,OUT046,607.5987096558413
DRN36,OUT049,1526.812057706812
NCY06,OUT035,2043.4339147037647
FDE52,OUT035,1395.6316627522656
NCB54,OUT045,2015.7436830016904
NCF31,OUT035,2500.576212282282
FDJ08,OUT027,5205.211705296561
NCC07,OUT017,1656.7948598840032
NCD19,OUT027,1598.3250470931184
FDL46,OUT049,2015.3724797517527
FDM20,OUT045,3962.072942200957
NCI06,OUT010,441.0641336115096
DRM11,OUT035,4193.017119264134
NCH07,OUT018,2443.029039145324
FDS23,OUT013,2033.9676537771466
FDO49,OUT018,727.6067252052749
FDS35,OUT049,1051.4546379873063
DRK39,OUT045,1341.8128809834786
DRI39,OUT049,869.2678560174354
FDV04,OUT017,2520.5926525609584
NCN14,OUT035,3051.6932336701807
FDH08,OUT013,3857.862205302099
FDS20,OUT046,3110.230907711263
FDV40,OUT049,1141.9671488017568
FDZ48,OUT010,245.89443506692814
FDS24,OUT027,2471.9453901095494
FDK44,OUT049,2916.2338826205023
FDS48,OUT045,2513.911035161091
FDK26,OUT010,504.25668182169073
FDD23,OUT045,3069.5644953836972
NCH54,OUT017,2601.0773825312453
NCP14,OUT010,223.48989081783526
FDM60,OUT010,90.6280266000397
FDV24,OUT017,2457.6344545456936
FDH08,OUT018,3376.973664951798
FDS12,OUT027,3319.8254567739828
FDR39,OUT027,5015.071109369479
FDP12,OUT027,1103.4408267558103
DRF60,OUT027,6247.9064084383745
FDC09,OUT035,1656.7948598840032
FDF50,OUT018,2991.9676394537437
FDG28,OUT035,3991.8679106664135
NCE19,OUT017,863.0082106057795
NCM53,OUT010,238.71611271730842
NCN18,OUT049,1751.1913003398658
FDF32,OUT035,3122.24858922644
FDF11,OUT013,3941.3551421948905
DRI59,OUT049,3792.64288242801
NCG54,OUT035,2818.3306261577877
FDM44,OUT046,1647.2289584627524
FDT57,OUT018,3384.5767166303717
FDV24,OUT046,2454.613773219937
FDI50,OUT019,581.0630376819423
FDS09,OUT035,780.0569142241162
NCC31,OUT027,4008.2502414451137
