Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_DT
FDW58,OUT049,1673.9839872860634
FDW14,OUT017,1349.512904332131
NCN55,OUT010,471.30684669117664
FDQ58,OUT017,2432.6625807321766
FDY38,OUT027,5041.82149744681
FDH56,OUT046,1892.0661445161286
FDL48,OUT018,790.3307954098356
FDC48,OUT027,2846.400822516556
FDN33,OUT045,1559.9736407643309
FDA36,OUT017,3190.643467582416
FDT44,OUT017,1892.0661445161286
FDQ56,OUT045,1349.512904332131
NCC54,OUT019,471.30684669117664
FDU11,OUT049,2006.47074231975
DRL59,OUT013,790.3307954098356
FDM24,OUT049,2432.6625807321766
FDI57,OUT045,3011.5252991596612
DRC12,OUT018,3011.5252991596612
NCM42,OUT027,2846.400822516556
FDA46,OUT010,471.30684669117664
FDA31,OUT013,2843.5697892156873
NCJ31,OUT035,3549.850947508306
FDG52,OUT046,790.3307954098356
NCL19,OUT019,207.13050352504638
FDS10,OUT035,3190.643467582416
FDX22,OUT010,471.30684669117664
NCF19,OUT035,790.3307954098356
NCE06,OUT046,2633.839843902438
DRC27,OUT046,3805.948604166664
FDE21,OUT035,1892.0661445161286
NCR42,OUT019,207.13050352504638
FDX51,OUT018,3011.5252991596612
NCR06,OUT018,646.0888157894741
FDU31,OUT027,5041.82149744681
FDU59,OUT017,2633.839843902438
FDR03,OUT027,5041.82149744681
FDS49,OUT027,2846.400822516556
FDD48,OUT010,207.13050352504638
NCF18,OUT017,3011.5252991596612
NCD43,OUT027,2846.400822516556
NCD54,OUT018,2117.4513803278655
FDY19,OUT010,207.13050352504638
NCY54,OUT017,2843.5697892156873
NCL19,OUT018,2432.6625807321766
FDP23,OUT010,471.30684669117664
FDC26,OUT013,1673.9839872860634
FDR14,OUT010,207.13050352504638
NCS41,OUT035,3190.643467582416
FDF41,OUT035,3549.850947508306
FDU34,OUT046,2117.4513803278655
DRH11,OUT046,1068.506765834932
FDM03,OUT013,1673.9839872860634
FDS31,OUT017,3190.643467582416
FDJ20,OUT017,2117.4513803278655
FDV44,OUT027,5041.82149744681
FDG02,OUT049,3190.643467582416
FDA09,OUT013,2843.5697892156873
FDT04,OUT013,646.0888157894741
FDL58,OUT019,471.30684669117664
FDE52,OUT045,1349.512904332131
FDW12,OUT035,2432.6625807321766
FDL51,OUT017,3805.948604166664
NCY42,OUT027,2846.400822516556
FDR07,OUT017,1559.9736407643309
FDN40,OUT045,2432.6625807321766
FDB35,OUT027,2846.400822516556
FDA22,OUT017,2633.839843902438
NCL06,OUT046,4125.174474540679
FDI35,OUT013,3190.643467582416
NCW42,OUT045,3805.948604166664
NCX06,OUT049,2843.5697892156873
FDC37,OUT027,2846.400822516556
FDZ14,OUT018,2006.47074231975
DRG49,OUT049,3549.850947508306
NCG06,OUT045,4125.174474540679
DRC36,OUT045,2843.5697892156873
FDV21,OUT019,207.13050352504638
FDB53,OUT046,2432.6625807321766
DRP47,OUT019,471.30684669117664
FDA14,OUT013,2432.6625807321766
DRC24,OUT035,2432.6625807321766
FDW21,OUT018,1559.9736407643309
NCH29,OUT046,1559.9736407643309
FDU58,OUT013,3190.643467582416
FDY27,OUT017,2843.5697892156873
FDV56,OUT035,1673.9839872860634
FDT59,OUT046,3805.948604166664
FDB23,OUT046,3805.948604166664
FDR49,OUT045,790.3307954098356
FDB03,OUT010,471.30684669117664
FDN39,OUT045,2633.839843902438
FDX02,OUT027,5041.82149744681
FDQ16,OUT027,2846.400822516556
FDU35,OUT018,1559.9736407643309
NCT29,OUT013,2006.47074231975
FDZ27,OUT046,790.3307954098356
FDN57,OUT017,2117.4513803278655
FDA03,OUT018,2432.6625807321766
FDZ36,OUT045,3190.643467582416
NCU05,OUT013,1349.512904332131
FDT39,OUT018,2432.6625807321766
FDK60,OUT017,1559.9736407643309
FDZ25,OUT017,2633.839843902438
FDG12,OUT046,2006.47074231975
DRB01,OUT019,471.30684669117664
NCC43,OUT027,5041.82149744681
FDX13,OUT019,471.30684669117664
FDM22,OUT049,1068.506765834932
FDJ03,OUT027,790.3307954098356
FDU14,OUT018,4125.174474540679
FDB33,OUT010,471.30684669117664
FDP27,OUT046,3011.5252991596612
FDO38,OUT010,207.13050352504638
FDE28,OUT027,5041.82149744681
FDO27,OUT035,1559.9736407643309
DRL23,OUT027,2846.400822516556
FDS28,OUT046,1068.506765834932
FDX24,OUT013,1349.512904332131
FDZ02,OUT035,1559.9736407643309
FDL46,OUT045,1892.0661445161286
FDS60,OUT027,5041.82149744681
NCO06,OUT017,646.0888157894741
FDO16,OUT035,1349.512904332131
FDC60,OUT049,1349.512904332131
FDA48,OUT018,3549.850947508306
FDZ36,OUT027,5041.82149744681
FDK27,OUT045,2006.47074231975
FDW23,OUT018,646.0888157894741
FDM14,OUT018,1673.9839872860634
FDM14,OUT013,1673.9839872860634
FDW60,OUT018,2843.5697892156873
FDE21,OUT013,1892.0661445161286
NCM42,OUT035,1673.9839872860634
FDY59,OUT010,207.13050352504638
DRI49,OUT049,1349.512904332131
FDT28,OUT019,471.30684669117664
FDQ22,OUT018,646.0888157894741
FDR60,OUT049,1349.512904332131
FDC50,OUT019,207.13050352504638
FDV24,OUT013,2432.6625807321766
DRF48,OUT010,471.30684669117664
FDQ47,OUT046,646.0888157894741
DRN36,OUT049,1559.9736407643309
NCY06,OUT035,2117.4513803278655
FDE52,OUT035,1349.512904332131
NCB54,OUT045,2006.47074231975
NCF31,OUT035,2432.6625807321766
FDJ08,OUT027,5041.82149744681
NCC07,OUT017,1673.9839872860634
NCD19,OUT027,1068.506765834932
FDL46,OUT049,1892.0661445161286
FDM20,OUT045,3805.948604166664
NCI06,OUT010,471.30684669117664
DRM11,OUT035,4125.174474540679
NCH07,OUT018,2633.839843902438
FDS23,OUT013,2006.47074231975
FDO49,OUT018,790.3307954098356
FDS35,OUT049,1068.506765834932
DRK39,OUT045,1349.512904332131
DRI39,OUT049,1068.506765834932
FDV04,OUT017,2633.839843902438
NCN14,OUT035,3190.643467582416
FDH08,OUT013,3805.948604166664
FDS20,OUT046,3190.643467582416
FDV40,OUT049,1068.506765834932
FDZ48,OUT010,207.13050352504638
FDS24,OUT027,2846.400822516556
FDK44,OUT049,2843.5697892156873
FDS48,OUT045,2432.6625807321766
FDK26,OUT010,471.30684669117664
FDD23,OUT045,3190.643467582416
NCH54,OUT017,2633.839843902438
NCP14,OUT010,207.13050352504638
FDM60,OUT010,207.13050352504638
FDV24,OUT017,2432.6625807321766
FDH08,OUT018,3805.948604166664
FDS12,OUT027,2846.400822516556
FDR39,OUT027,5041.82149744681
FDP12,OUT027,646.0888157894741
DRF60,OUT027,5041.82149744681
FDC09,OUT035,1673.9839872860634
FDF50,OUT018,3011.5252991596612
FDG28,OUT035,3805.948604166664
NCE19,OUT017,1068.506765834932
NCM53,OUT010,207.13050352504638
NCN18,OUT049,1673.9839872860634
FDF32,OUT035,3011.5252991596612
FDF11,OUT013,3805.948604166664
DRI59,OUT049,3805.948604166664
NCG54,OUT035,2633.839843902438
FDM44,OUT046,1559.9736407643309
FDT57,OUT018,3805.948604166664
FDV24,OUT046,2432.6625807321766
FDI50,OUT019,471.30684669117664
FDS09,OUT035,790.3307954098356
NCC31,OUT027,5041.82149744681
FDQ07,OUT019,471.30684669117664
FDC22,OUT017,3011.5252991596612
FDZ56,OUT046,2633.839843902438
FDZ40,OUT019,207.13050352504638
FDS46,OUT027,2846.400822516556
DRD24,OUT045,2117.4513803278655
FDV45,OUT017,3190.643467582416
FDL26,OUT045,2432.6625807321766
FDA56,OUT018,2006.47074231975
FDN27,OUT046,1892.0661445161286
FDM20,OUT049,3805.948604166664
FDO16,OUT017,1349.512904332131
FDL03,OUT035,3011.5252991596612
FDE58,OUT046,1892.0661445161286
FDI02,OUT027,2846.400822516556
NCC55,OUT019,207.13050352504638
FDR03,OUT018,3805.948604166664
FDB14,OUT017,1349.512904332131
FDR45,OUT013,3805.948604166664
NCN07,OUT017,2117.4513803278655
FDM51,OUT019,207.13050352504638
FDT52,OUT027,5041.82149744681
FDL26,OUT046,2432.6625807321766
NCZ42,OUT046,3805.948604166664
DRI47,OUT019,471.30684669117664
FDW40,OUT013,2117.4513803278655
FDN34,OUT046,2633.839843902438
FDS01,OUT035,2843.5697892156873
NCG55,OUT045,1892.0661445161286
FDC11,OUT035,1349.512904332131
FDX35,OUT018,3549.850947508306
NCB06,OUT046,2633.839843902438
FDR09,OUT019,471.30684669117664
FDC53,OUT017,1559.9736407643309
FDY45,OUT013,4125.174474540679
FDA22,OUT010,471.30684669117664
FDE02,OUT035,1559.9736407643309
FDW21,OUT045,1559.9736407643309
FDV34,OUT046,1068.506765834932
FDS59,OUT049,1673.9839872860634
NCW17,OUT017,2117.4513803278655
NCK54,OUT046,1892.0661445161286
FDG17,OUT019,471.30684669117664
FDG35,OUT017,2843.5697892156873
FDD08,OUT010,207.13050352504638
NCO07,OUT017,3805.948604166664
FDJ10,OUT010,207.13050352504638
FDW36,OUT017,1673.9839872860634
FDW21,OUT010,207.13050352504638
FDY19,OUT017,1892.0661445161286
DRE03,OUT013,790.3307954098356
NCC55,OUT049,646.0888157894741
FDH52,OUT010,207.13050352504638
FDO09,OUT017,4125.174474540679
FDU43,OUT045,3805.948604166664
FDX09,OUT010,471.30684669117664
FDH40,OUT019,207.13050352504638
FDW58,OUT017,1673.9839872860634
FDC47,OUT017,3549.850947508306
NCR41,OUT035,1559.9736407643309
DRG49,OUT035,3549.850947508306
FDC52,OUT027,5041.82149744681
FDY13,OUT046,1068.506765834932
FDY35,OUT013,790.3307954098356
FDI35,OUT017,3190.643467582416
NCU18,OUT049,2117.4513803278655
FDY33,OUT018,2633.839843902438
FDC15,OUT027,5041.82149744681
FDU01,OUT049,3190.643467582416
NCU42,OUT046,2633.839843902438
NCV29,OUT018,2843.5697892156873
NCY30,OUT017,3190.643467582416
FDQ46,OUT049,1673.9839872860634
FDG58,OUT027,5041.82149744681
FDK33,OUT017,3805.948604166664
NCD07,OUT045,1892.0661445161286
NCX29,OUT027,5041.82149744681
NCT42,OUT013,2432.6625807321766
DRN59,OUT035,790.3307954098356
FDI44,OUT035,1349.512904332131
FDA45,OUT049,2843.5697892156873
FDP31,OUT045,1068.506765834932
FDY01,OUT046,1892.0661445161286
FDT09,OUT018,2117.4513803278655
DRH03,OUT027,2846.400822516556
FDA36,OUT018,3190.643467582416
NCF31,OUT017,2432.6625807321766
FDG14,OUT049,2432.6625807321766
FDG28,OUT027,5041.82149744681
FDU14,OUT049,4125.174474540679
FDY47,OUT019,207.13050352504638
FDI56,OUT049,1349.512904332131
DRD01,OUT013,1068.506765834932
FDM22,OUT046,1068.506765834932
FDH33,OUT013,646.0888157894741
DRZ24,OUT013,1892.0661445161286
NCQ38,OUT046,1673.9839872860634
FDO16,OUT027,2846.400822516556
FDU07,OUT027,5041.82149744681
NCB07,OUT013,3011.5252991596612
FDU48,OUT045,2117.4513803278655
NCM43,OUT045,2633.839843902438
FDR31,OUT010,471.30684669117664
DRK49,OUT018,646.0888157894741
NCI30,OUT010,471.30684669117664
DRD60,OUT017,3190.643467582416
NCG19,OUT046,3549.850947508306
FDH12,OUT035,1673.9839872860634
FDM32,OUT035,1349.512904332131
FDM27,OUT035,2432.6625807321766
NCU53,OUT027,5041.82149744681
NCQ18,OUT046,1559.9736407643309
FDS10,OUT013,2843.5697892156873
FDB33,OUT027,5041.82149744681
FDI12,OUT013,1349.512904332131
NCW42,OUT013,3805.948604166664
NCC06,OUT018,2117.4513803278655
FDW02,OUT017,2006.47074231975
NCD43,OUT017,1673.9839872860634
FDM57,OUT018,1349.512904332131
FDA58,OUT017,3549.850947508306
FDK56,OUT046,3190.643467582416
FDP52,OUT045,3805.948604166664
FDW20,OUT018,2117.4513803278655
FDS52,OUT049,1559.9736407643309
NCT29,OUT018,1892.0661445161286
NCL54,OUT013,2843.5697892156873
FDC05,OUT045,3011.5252991596612
FDF34,OUT035,3011.5252991596612
FDP03,OUT027,2846.400822516556
FDD32,OUT010,207.13050352504638
FDZ10,OUT045,2117.4513803278655
FDZ40,OUT035,1068.506765834932
FDD51,OUT018,790.3307954098356
NCY30,OUT019,471.30684669117664
FDP58,OUT017,3549.850947508306
FDV49,OUT017,4125.174474540679
FDY24,OUT019,207.13050352504638
NCO55,OUT017,1673.9839872860634
FDR13,OUT017,1892.0661445161286
FDS51,OUT017,1068.506765834932
FDP26,OUT045,1673.9839872860634
NCB54,OUT027,2846.400822516556
FDF32,OUT017,3011.5252991596612
FDN31,OUT018,3190.643467582416
DRM48,OUT017,646.0888157894741
FDN20,OUT049,2633.839843902438
DRL01,OUT046,3805.948604166664
FDV56,OUT049,1673.9839872860634
DRH13,OUT027,2846.400822516556
FDA03,OUT017,2432.6625807321766
FDF47,OUT027,5041.82149744681
FDX32,OUT046,2432.6625807321766
FDX57,OUT049,1559.9736407643309
NCA30,OUT045,3011.5252991596612
FDO49,OUT013,790.3307954098356
FDL04,OUT019,207.13050352504638
DRM48,OUT035,646.0888157894741
FDR16,OUT013,3549.850947508306
NCC19,OUT018,3011.5252991596612
NCE42,OUT045,3805.948604166664
FDY24,OUT017,1068.506765834932
FDH19,OUT049,2843.5697892156873
FDJ46,OUT013,2843.5697892156873
FDN45,OUT010,471.30684669117664
FDY08,OUT035,2006.47074231975
FDZ37,OUT035,1349.512904332131
NCT30,OUT045,790.3307954098356
DRY23,OUT018,646.0888157894741
NCZ30,OUT018,2006.47074231975
FDC44,OUT018,1892.0661445161286
FDB45,OUT035,1673.9839872860634
FDY04,OUT013,2633.839843902438
FDM27,OUT046,2633.839843902438
FDZ43,OUT017,3805.948604166664
FDT39,OUT019,471.30684669117664
