Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_RF
FDW58,OUT049,1629.0220192067418
FDW14,OUT017,1354.6313680419232
NCN55,OUT010,589.63213861546
FDQ58,OUT017,2498.9671382503493
FDY38,OUT027,6262.896666279172
FDH56,OUT046,1954.6665615765983
FDL48,OUT018,735.9484685343497
FDC48,OUT027,2203.2648349049405
FDN33,OUT045,1522.5587760012786
FDA36,OUT017,3111.4367679292664
FDT44,OUT017,1974.5194173701539
FDQ56,OUT045,1355.9393220740842
NCC54,OUT019,588.1468142447312
FDU11,OUT049,2018.3896357695892
DRL59,OUT013,780.6088404599121
FDM24,OUT049,2470.058606346525
FDI57,OUT045,3011.939277220475
DRC12,OUT018,2950.3662087081566
NCM42,OUT027,2897.198689729582
FDA46,OUT010,493.9748324486292
FDA31,OUT013,2848.712595292751
NCJ31,OUT035,3835.8887742208635
FDG52,OUT046,751.8677314446845
NCL19,OUT019,304.03167353094915
FDS10,OUT035,2996.4703307279688
FDX22,OUT010,551.2686383659498
NCF19,OUT035,751.8677314446845
NCE06,OUT046,2533.8121874748913
DRC27,OUT046,3922.34413113878
FDE21,OUT035,1990.8046093409937
NCR42,OUT019,92.62838615871215
FDX51,OUT018,3012.5286224397673
NCR06,OUT018,609.6306459705626
FDU31,OUT027,5523.816885204578
FDU59,OUT017,2547.225299748522
FDR03,OUT027,5523.816885204578
FDS49,OUT027,2241.875592776603
FDD48,OUT010,258.2088665042027
NCF18,OUT017,3040.549805090193
NCD43,OUT027,2551.1943432191124
NCD54,OUT018,2082.7907580281267
FDY19,OUT010,259.83300763012016
NCY54,OUT017,2855.772974280035
NCL19,OUT018,2402.4941273526347
FDP23,OUT010,546.403123260886
FDC26,OUT013,1745.8620637219135
FDR14,OUT010,162.97234648154162
NCS41,OUT035,3127.392943830388
FDF41,OUT035,3909.0139467912527
FDU34,OUT046,2033.042870602109
DRH11,OUT046,866.4821615816477
FDM03,OUT013,1628.6765180452226
FDS31,OUT017,3086.8162000760362
FDJ20,OUT017,2023.9992980668476
FDV44,OUT027,5087.0186813103
FDG02,OUT049,3137.769742373077
FDA09,OUT013,3014.2906289647067
FDT04,OUT013,614.3154208395182
FDL58,OUT019,586.7453121127812
FDE52,OUT045,1360.780107765306
FDW12,OUT035,2514.8002513908305
FDL51,OUT017,3722.517767152753
NCY42,OUT027,3350.010985758332
FDR07,OUT017,1549.1029952795693
FDN40,OUT045,2476.612126219098
FDB35,OUT027,2499.891975871869
FDA22,OUT017,2558.2995833922873
NCL06,OUT046,4138.34116562795
FDI35,OUT013,3079.6509575184446
NCW42,OUT045,3792.125895221936
NCX06,OUT049,3012.514569205789
FDC37,OUT027,2564.919969481483
FDZ14,OUT018,1908.2891854786806
DRG49,OUT049,3945.774782862651
NCG06,OUT045,4093.6493377794286
DRC36,OUT045,2829.5407460203887
FDV21,OUT019,301.62661591712504
FDB53,OUT046,2511.5063211639745
DRP47,OUT019,587.1291645524235
FDA14,OUT013,2481.3748261944875
DRC24,OUT035,2552.920110799987
FDW21,OUT018,1600.5177685215751
NCH29,OUT046,1557.2102451095334
FDU58,OUT013,3114.248600663293
FDY27,OUT017,2907.46785988778
FDV56,OUT035,1638.4145327530132
FDT59,OUT046,3838.82436739704
FDB23,OUT046,3755.770441386447
FDR49,OUT045,751.0896733372211
FDB03,OUT010,598.6161191263574
FDN39,OUT045,2636.6458900773196
FDX02,OUT027,5686.437671093945
FDQ16,OUT027,2572.2930366547544
FDU35,OUT018,1561.122386764556
NCT29,OUT013,2020.0785870225975
FDZ27,OUT046,754.7346023650535
FDN57,OUT017,2046.5832797990763
FDA03,OUT018,2388.1795363859196
FDZ36,OUT045,3071.384635343484
NCU05,OUT013,1304.720768346314
FDT39,OUT018,2359.640796521151
FDK60,OUT017,1549.1029952795693
FDZ25,OUT017,2807.343314335065
FDG12,OUT046,2060.8461982368276
DRB01,OUT019,499.7334285491277
NCC43,OUT027,6262.896666279172
FDX13,OUT019,577.9704356842084
FDM22,OUT049,822.9784867653599
FDJ03,OUT027,1242.93014978293
FDU14,OUT018,3627.196698900788
FDB33,OUT010,379.78025859655224
FDP27,OUT046,3144.1504863249306
FDO38,OUT010,177.24974318363167
FDE28,OUT027,6257.4831574458385
FDO27,OUT035,1524.4863719202256
DRL23,OUT027,2564.919969481483
FDS28,OUT046,866.4821615816477
FDX24,OUT013,1453.4233508022987
FDZ02,OUT035,1546.510067215261
FDL46,OUT045,1952.1334485010366
FDS60,OUT027,4894.971981003484
NCO06,OUT017,606.4389370042973
FDO16,OUT035,1353.605196231172
FDC60,OUT049,1356.5929724737005
FDA48,OUT018,3303.5170119645836
FDZ36,OUT027,5080.088355946187
FDK27,OUT045,2051.5878327685327
FDW23,OUT018,595.6184659673346
FDM14,OUT018,1672.5170053689849
FDM14,OUT013,1630.8062596410898
FDW60,OUT018,2846.270369612437
FDE21,OUT013,1982.5573861290468
NCM42,OUT035,1646.5323245299694
FDY59,OUT010,210.22230450564678
DRI49,OUT049,1309.235868336301
FDT28,OUT019,340.3346712641609
FDQ22,OUT018,598.3961579291835
FDR60,OUT049,1286.1141123740706
FDC50,OUT019,236.64017535652954
FDV24,OUT013,2432.750776503631
DRF48,OUT010,469.6863738953808
FDQ47,OUT046,606.2700166665078
DRN36,OUT049,1553.4984087562386
NCY06,OUT035,2032.770733170525
FDE52,OUT035,1362.707703684253
NCB54,OUT045,2027.875494293359
NCF31,OUT035,2522.5375138107593
FDJ08,OUT027,5169.6995004387745
NCC07,OUT017,1625.1467676142709
NCD19,OUT027,1586.5437658025978
FDL46,OUT049,2020.01271754697
FDM20,OUT045,3961.3815241384277
NCI06,OUT010,431.0549231599159
DRM11,OUT035,4184.224449330437
NCH07,OUT018,2431.796102813651
FDS23,OUT013,2027.6067028410127
FDO49,OUT018,738.8153394547188
FDS35,OUT049,1044.6573283288506
DRK39,OUT045,1341.0496773456607
DRI39,OUT049,864.4236118135464
FDV04,OUT017,2527.6413720331107
NCN14,OUT035,3058.452405467886
FDH08,OUT013,3845.5531193981083
FDS20,OUT046,3149.0286662229896
FDV40,OUT049,1158.7456816022575
FDZ48,OUT010,240.085943834931
FDS24,OUT027,2458.8551993428755
FDK44,OUT049,2849.8923537511437
FDS48,OUT045,2526.1416227753534
FDK26,OUT010,496.91630769381743
FDD23,OUT045,3067.7374581580725
NCH54,OUT017,2583.8319378800566
NCP14,OUT010,219.3133172743976
FDM60,OUT010,92.62838615871215
FDV24,OUT017,2476.1258416680457
FDH08,OUT018,3345.589617448705
FDS12,OUT027,3314.283166142939
FDR39,OUT027,4960.746139314696
FDP12,OUT027,1123.2004689565574
DRF60,OUT027,6282.125715045816
FDC09,OUT035,1627.0743635332176
FDF50,OUT018,3000.251836863931
FDG28,OUT035,3979.2634179923025
NCE19,OUT017,862.1962466485354
NCM53,OUT010,237.22310278419405
NCN18,OUT049,1745.0655051646618
FDF32,OUT035,3169.998974763263
FDF11,OUT013,3946.0282439810835
DRI59,OUT049,3806.4314660297123
NCG54,OUT035,2769.7033171232288
FDM44,OUT046,1628.8586039675656
FDT57,OUT018,3403.381022305989
FDV24,OUT046,2466.7487088138164
FDI50,OUT019,586.4083324854765
FDS09,OUT035,767.9398812526936
NCC31,OUT027,3988.4343242606824
FDQ07,OUT019,581.71536268849
FDC22,OUT017,3141.3414427682037
FDZ56,OUT046,2790.178560511908
FDZ40,OUT019,165.42565006291588
FDS46,OUT027,3140.1884578735394
DRD24,OUT045,2089.6004129485505
FDV45,OUT017,3089.7156135658533
FDL26,OUT045,2533.418202010493
FDA56,OUT018,1938.5948322441275
FDN27,OUT046,1986.196445566409
FDM20,OUT049,3957.7008841644365
FDO16,OUT017,1338.6852189493031
FDL03,OUT035,3027.92231506229
FDE58,OUT046,1966.7399374845818
FDI02,OUT027,3152.8463163375727
NCC55,OUT019,92.62838615871215
FDR03,OUT018,3181.5134411470617
FDB14,OUT017,1461.4064102091695
FDR45,OUT013,3956.1995108489104
NCN07,OUT017,2060.658708861889
FDM51,OUT019,247.12796717412334
FDT52,OUT027,6314.122619239768
FDL26,OUT046,2521.33697984453
NCZ42,OUT046,3882.6324166016725
DRI47,OUT019,359.65984752368155
FDW40,OUT013,2076.7362220074187
FDN34,OUT046,2808.6114809198352
FDS01,OUT035,2965.392205102706
NCG55,OUT045,1962.07823414703
FDC11,OUT035,1353.7684223897172
FDX35,OUT018,3342.659229984912
