Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_KNN
FDW58,OUT049,1438.474216
FDW14,OUT017,1347.9121000000002
NCN55,OUT010,3658.278047999999
FDQ58,OUT017,2181.500358
FDY38,OUT027,3905.9556480000006
FDH56,OUT046,1641.969328
FDL48,OUT018,651.7050139999999
FDC48,OUT027,1265.426138
FDN33,OUT045,1376.794504
FDA36,OUT017,3012.8848179999995
FDT44,OUT017,1983.1651960000004
FDQ56,OUT045,1385.9093060000002
NCC54,OUT019,3828.556398
FDU11,OUT049,1910.439862
DRL59,OUT013,790.7839760000002
FDM24,OUT049,2202.473058
FDI57,OUT045,2769.075516
DRC12,OUT018,2767.983604
NCM42,OUT027,1841.309848
FDA46,OUT010,3003.9697559999995
FDA31,OUT013,2542.443854
NCJ31,OUT035,3671.2544900000003
FDG52,OUT046,725.761948
NCL19,OUT019,1871.5305099999998
FDS10,OUT035,2789.2958620000004
FDX22,OUT010,3612.324532
NCF19,OUT035,735.5758400000002
NCE06,OUT046,2422.71304
DRC27,OUT046,3943.014075999999
FDE21,OUT035,1921.618644
NCR42,OUT019,493.47098600000004
FDX51,OUT018,3090.8499980000006
NCR06,OUT018,598.194668
FDU31,OUT027,3165.805762
FDU59,OUT017,2378.8101880000004
FDR03,OUT027,3667.59259
FDS49,OUT027,1298.3699219999999
FDD48,OUT010,1903.4822520000005
NCF18,OUT017,2836.7940339999996
NCD43,OUT027,1809.2648939999997
NCD54,OUT018,2114.1680039999997
FDY19,OUT010,1786.188266
NCY54,OUT017,2833.531614
NCL19,OUT018,2490.271766
FDP23,OUT010,3194.8546159999996
FDC26,OUT013,1972.3858940000002
FDR14,OUT010,972.0746579999999
NCS41,OUT035,3276.13548
FDF41,OUT035,3842.318484000001
FDU34,OUT046,1880.6120220000003
DRH11,OUT046,787.355106
FDM03,OUT013,1580.7556759999995
FDS31,OUT017,3400.5934740000002
FDJ20,OUT017,1958.171064
FDV44,OUT027,3386.7914399999995
FDG02,OUT049,2898.367218
FDA09,OUT013,3466.760678
FDT04,OUT013,515.1494339999999
FDL58,OUT019,3909.4111500000004
FDE52,OUT045,1532.6516260000003
FDW12,OUT035,2441.18899
FDL51,OUT017,3326.975968
NCY42,OUT027,2071.130692
FDR07,OUT017,1371.28168
FDN40,OUT045,2157.89109
FDB35,OUT027,1679.5537380000003
FDA22,OUT017,2357.224952
NCL06,OUT046,4010.41301
FDI35,OUT013,3242.033204
NCW42,OUT045,3437.62527
NCX06,OUT049,2729.373862
FDC37,OUT027,1768.59783
FDZ14,OUT018,1892.243548
DRG49,OUT049,3602.8568560000003
NCG06,OUT045,4102.286752000001
DRC36,OUT045,3268.472122
FDV21,OUT019,1872.868768
FDB53,OUT046,2229.178296
DRP47,OUT019,3793.408816
FDA14,OUT013,2309.766728
DRC24,OUT035,2370.2080520000004
FDW21,OUT018,1540.1418759999997
NCH29,OUT046,1481.6047400000002
FDU58,OUT013,2971.3655299999996
FDY27,OUT017,2545.180292
FDV56,OUT035,1500.167244
FDT59,OUT046,3758.580818
FDB23,OUT046,3390.100466
FDR49,OUT045,695.001988
FDB03,OUT010,3884.350438000001
FDN39,OUT045,2408.145336
FDX02,OUT027,3611.259252
FDQ16,OUT027,1716.938408
FDU35,OUT018,1476.3981840000001
NCT29,OUT013,2033.0868799999998
FDZ27,OUT046,718.657862
FDN57,OUT017,2118.4690720000003
FDA03,OUT018,2308.3752059999997
FDZ36,OUT045,3089.81135
NCU05,OUT013,1302.4779079999998
FDT39,OUT018,2206.8873120000003
FDK60,OUT017,1468.774774
FDZ25,OUT017,2838.152265999999
FDG12,OUT046,1899.0679979999998
DRB01,OUT019,2892.2818059999995
NCC43,OUT027,3957.235564
FDX13,OUT019,3934.6116800000004
FDM22,OUT049,863.183068
FDJ03,OUT027,753.725548
FDU14,OUT018,3850.7608280000004
FDB33,OUT010,2455.0842359999997
FDP27,OUT046,3118.8535460000003
FDO38,OUT010,1149.5170160000002
FDE28,OUT027,4074.762580000001
FDO27,OUT035,1394.9775020000002
