Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_SVM
FDW58,OUT049,1758.2313065585395
FDW14,OUT017,1707.6642668152476
NCN55,OUT010,1849.2868013715924
FDQ58,OUT017,1825.9404821599976
FDY38,OUT027,1859.5540945267473
FDH56,OUT046,1778.8229020058943
FDL48,OUT018,1678.8878865092752
FDC48,OUT027,1701.3687481234501
FDN33,OUT045,1730.0968484105495
FDA36,OUT017,1849.7863287704154
FDT44,OUT017,1793.96116759854
FDQ56,OUT045,1719.7242458485687
NCC54,OUT019,1849.244610337204
FDU11,OUT049,1792.5811372835565
DRL59,OUT013,1649.7701849113887
FDM24,OUT049,1822.1815537219723
FDI57,OUT045,1826.9474079023187
DRC12,OUT018,1862.9094466636661
NCM42,OUT027,1757.9546769976412
FDA46,OUT010,1885.8781754853687
FDA31,OUT013,1854.3599400696417
NCJ31,OUT035,1831.9947819644863
FDG52,OUT046,1586.2547627924703
NCL19,OUT019,1816.0089007150941
FDS10,OUT035,1865.700135710647
FDX22,OUT010,1820.3502180058179
NCF19,OUT035,1583.1922939601664
NCE06,OUT046,1820.3435129596542
DRC27,OUT046,1849.0797174839001
FDE21,OUT035,1784.3850297100505
NCR42,OUT019,1698.471827656516
FDX51,OUT018,1875.4395763171358
NCR06,OUT018,1563.018740680568
FDU31,OUT027,1838.528794429531
FDU59,OUT017,1824.0988557679561
FDR03,OUT027,1822.6333125574579
FDS49,OUT027,1702.1784245445863
FDD48,OUT010,1766.6456541902544
NCF18,OUT017,1865.9880400515829
NCD43,OUT027,1752.2438925351646
NCD54,OUT018,1804.8776798300585
FDY19,OUT010,1783.1204443286688
NCY54,OUT017,1871.5179841829254
NCL19,OUT018,1833.3424383991626
FDP23,OUT010,1821.1245690537348
FDC26,OUT013,1762.0768188144507
FDR14,OUT010,1620.5085682241238
NCS41,OUT035,1892.7976170893733
FDF41,OUT035,1856.5781698780397
FDU34,OUT046,1796.0929431419413
DRH11,OUT046,1695.69048106335
FDM03,OUT013,1744.9453927674972
FDS31,OUT017,1903.342814620198
FDJ20,OUT017,1794.5627736046454
FDV44,OUT027,1896.225434430675
FDG02,OUT049,1869.8263064123669
FDA09,OUT013,1901.0734730477518
FDT04,OUT013,1628.4887719098515
FDL58,OUT019,1845.6678527628778
FDE52,OUT045,1708.1772813831083
FDW12,OUT035,1835.6184481936466
FDL51,OUT017,1816.5268328232698
NCY42,OUT027,1822.57780681357
FDR07,OUT017,1751.19664264303
FDN40,OUT045,1820.5722556208448
FDB35,OUT027,1723.0918889032716
FDA22,OUT017,1836.4033111658828
NCL06,OUT046,1851.6775800387884
FDI35,OUT013,1902.231599370163
NCW42,OUT045,1826.2435374535808
NCX06,OUT049,1878.7796709269358
FDC37,OUT027,1752.221725417978
FDZ14,OUT018,1791.362447552626
DRG49,OUT049,1834.235461164348
NCG06,OUT045,1868.0057619410047
DRC36,OUT045,1895.9484596496093
FDV21,OUT019,1788.808028933924
FDB53,OUT046,1837.2122694850723
DRP47,OUT019,1854.9205480272803
FDA14,OUT013,1835.805472868354
DRC24,OUT035,1832.5143784115526
FDW21,OUT018,1755.1657018195276
NCH29,OUT046,1743.7588556931603
FDU58,OUT013,1855.6948489328809
FDY27,OUT017,1843.7502899315598
FDV56,OUT035,1748.548527926126
FDT59,OUT046,1855.0022563532061
FDB23,OUT046,1821.6906767128805
FDR49,OUT045,1613.023938984505
FDB03,OUT010,1835.1291204036684
FDN39,OUT045,1824.2080432112557
FDX02,OUT027,1847.4484997322463
FDQ16,OUT027,1751.2928050368118
FDU35,OUT018,1744.014862481232
NCT29,OUT013,1796.9550662182723
FDZ27,OUT046,1636.582196971359
FDN57,OUT017,1809.4655874501257
FDA03,OUT018,1825.9346548273215
FDZ36,OUT045,1849.6595268649405
NCU05,OUT013,1701.574637631484
FDT39,OUT018,1821.0060857616072
FDK60,OUT017,1738.621076970276
FDZ25,OUT017,1867.7211325547582
FDG12,OUT046,1792.2303308268426
DRB01,OUT019,1872.5290212480375
NCC43,OUT027,1859.7411987810647
FDX13,OUT019,1849.9507011755136
FDM22,OUT049,1607.7703836792025
FDJ03,OUT027,1588.5710358038314
FDU14,OUT018,1843.561565472636
FDB33,OUT010,1830.6679034472772
FDP27,OUT046,1870.6742589205444
FDO38,OUT010,1727.1032735032531
FDE28,OUT027,1861.1042405325506
FDO27,OUT035,1730.8596871349298
DRL23,OUT027,1751.4690650922014
FDS28,OUT046,1652.6994624944768
FDX24,OUT013,1716.0302174963897
FDZ02,OUT035,1731.1122595128088
FDL46,OUT045,1785.5836641074288
FDS60,OUT027,1903.6214702501254
NCO06,OUT017,1728.288336469009
FDO16,OUT035,1734.0121856565966
FDC60,OUT049,1727.6465062198795
FDA48,OUT018,1841.7131080563854
FDZ36,OUT027,1897.389353555943
FDK27,OUT045,1793.923833714254
FDW23,OUT018,1677.952832437337
FDM14,OUT018,1752.8860045221809
FDM14,OUT013,1746.7228090537417
FDW60,OUT018,1829.5137052120901
FDE21,OUT013,1785.6837573614775
NCM42,OUT035,1761.6708870229477
FDY59,OUT010,1720.2583780986627
DRI49,OUT049,1700.657016153478
FDT28,OUT019,1824.7460263082644
FDQ22,OUT018,1602.23035695743
FDR60,OUT049,1711.6224066155996
FDC50,OUT019,1732.4140708337513
FDV24,OUT013,1818.7393942689123
DRF48,OUT010,1837.5601417460703
FDQ47,OUT046,1660.136209798298
DRN36,OUT049,1742.4151599912345
NCY06,OUT035,1796.627692033264
FDE52,OUT035,1705.0334223940017
NCB54,OUT045,1790.591231988318
NCF31,OUT035,1831.1386497949386
FDJ08,OUT027,1897.559682612979
NCC07,OUT017,1752.8354712402036
NCD19,OUT027,1618.0973462141458
FDL46,OUT049,1790.868847665215
FDM20,OUT045,1851.4136862643347
NCI06,OUT010,1882.22426832557
DRM11,OUT035,1836.3037372874528
NCH07,OUT018,1844.7296261209754
FDS23,OUT013,1786.7594062117814
FDO49,OUT018,1599.9473497176566
FDS35,OUT049,1714.3943170172201
DRK39,OUT045,1726.5522206448493
DRI39,OUT049,1637.908742922946
FDV04,OUT017,1829.147614936238
NCN14,OUT035,1865.1258103869056
FDH08,OUT013,1838.3223027223207
FDS20,OUT046,1870.595336108663
FDV40,OUT049,1730.5295784387483
FDZ48,OUT010,1753.4793652832743
FDS24,OUT027,1710.2337292278287
FDK44,OUT049,1876.9568668018846
FDS48,OUT045,1841.863007934388
FDK26,OUT010,1837.601911588511
FDD23,OUT045,1886.208372329066
NCH54,OUT017,1849.5682274078404
NCP14,OUT010,1749.9521837053508
FDM60,OUT010,1579.4864703524547
FDV24,OUT017,1822.5147319955947
FDH08,OUT018,1839.1473190608074
FDS12,OUT027,1799.4100887153822
