Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_GBM
FDW58,OUT049,1797.3695179518932
FDW14,OUT017,1373.8843276404707
NCN55,OUT010,673.4336019757599
FDQ58,OUT017,2246.662042298101
FDY38,OUT027,6459.021862060466
FDH56,OUT046,1899.4301662666333
FDL48,OUT018,594.0471509216612
FDC48,OUT027,1992.3063025022445
FDN33,OUT045,1558.1209101099641
FDA36,OUT017,2892.7862035564817
FDT44,OUT017,1881.3719772801535
FDQ56,OUT045,1276.612674456742
NCC54,OUT019,508.2694952271916
FDU11,OUT049,2220.9479576459858
DRL59,OUT013,789.7027079310984
FDM24,OUT049,2477.634064189969
FDI57,OUT045,2668.62791317655
DRC12,OUT018,2749.052122817551
NCM42,OUT027,3055.084837270384
FDA46,OUT010,562.2740276073324
FDA31,OUT013,2914.2392308315316
NCJ31,OUT035,3708.592697912641
FDG52,OUT046,793.3167598632288
NCL19,OUT019,245.01178182576515
FDS10,OUT035,3356.0838822409855
FDX22,OUT010,692.310831638868
NCF19,OUT035,842.2969673690143
NCE06,OUT046,2233.4852234212512
DRC27,OUT046,3956.5231230423497
FDE21,OUT035,2088.909737571406
NCR42,OUT019,68.05760603613157
FDX51,OUT018,2672.1827445881695
NCR06,OUT018,509.4300642450257
FDU31,OUT027,5461.718059238579
FDU59,OUT017,2198.895600103119
FDR03,OUT027,5878.539588871862
FDS49,OUT027,2273.0330996128005
FDD48,OUT010,242.3588481842395
NCF18,OUT017,3195.545441099384
NCD43,OUT027,2445.087025776894
NCD54,OUT018,1731.8369073005133
FDY19,OUT010,182.7999637587391
NCY54,OUT017,2493.75358707344
NCL19,OUT018,1957.3024175602259
FDP23,OUT010,586.4949263079574
FDC26,OUT013,1765.4143798069758
FDR14,OUT010,96.85048077536707
NCS41,OUT035,3044.7374255729096
FDF41,OUT035,4151.347868172926
FDU34,OUT046,1986.877884672805
DRH11,OUT046,749.3820696405877
FDM03,OUT013,1736.9688497764048
FDS31,OUT017,3258.8840097824605
FDJ20,OUT017,1927.7493808826066
FDV44,OUT027,4936.674410391463
FDG02,OUT049,2766.2243984524234
FDA09,OUT013,3627.533497842977
FDT04,OUT013,642.8292505395457
FDL58,OUT019,387.56300473146837
FDE52,OUT045,1433.4648046311563
FDW12,OUT035,2495.2966833878013
FDL51,OUT017,3414.851909522803
NCY42,OUT027,3207.3795582127386
FDR07,OUT017,1562.1108592362173
FDN40,OUT045,2288.1813720058017
FDB35,OUT027,2445.7483981113105
FDA22,OUT017,2551.9547454158646
NCL06,OUT046,4622.998686328265
FDI35,OUT013,3275.4533863220154
NCW42,OUT045,3592.9572844223608
NCX06,OUT049,3195.551764438866
FDC37,OUT027,2762.1151599878303
FDZ14,OUT018,1806.025591827884
DRG49,OUT049,4457.589949285377
NCG06,OUT045,3261.746328430245
DRC36,OUT045,2812.6559747387723
FDV21,OUT019,246.6433305108367
FDB53,OUT046,2744.733183818537
DRP47,OUT019,651.6578388256554
FDA14,OUT013,2480.3257233666855
DRC24,OUT035,2513.2209244366873
FDW21,OUT018,1397.7094457213711
NCH29,OUT046,1691.7820723293619
FDU58,OUT013,2932.0301648738537
FDY27,OUT017,2556.791045144159
FDV56,OUT035,1803.4042542962054
FDT59,OUT046,3873.942510806565
FDB23,OUT046,3212.025976382938
FDR49,OUT045,851.4949681794922
FDB03,OUT010,543.5197455972096
FDN39,OUT045,3130.984920713845
FDX02,OUT027,5292.465209516535
FDQ16,OUT027,2799.3436719684223
FDU35,OUT018,1603.7444073384877
NCT29,OUT013,2032.0596412460268
FDZ27,OUT046,720.9283471326098
FDN57,OUT017,2063.783923974931
FDA03,OUT018,2021.015575665063
FDZ36,OUT045,3112.3565873113857
NCU05,OUT013,1166.12072486542
FDT39,OUT018,2086.2880096344957
FDK60,OUT017,1534.6651611952695
FDZ25,OUT017,2961.144121081018
FDG12,OUT046,1973.5574679499553
DRB01,OUT019,549.2882004272439
NCC43,OUT027,6429.856625190913
FDX13,OUT019,443.16489011963824
FDM22,OUT049,871.3806684626737
FDJ03,OUT027,1227.8415325127487
FDU14,OUT018,3834.551858346323
FDB33,OUT010,457.5224681846603
FDP27,OUT046,3484.5585320609516
FDO38,OUT010,216.65422409068753
FDE28,OUT027,6510.517751681309
FDO27,OUT035,1584.6043036543936
DRL23,OUT027,2376.1400909599306
FDS28,OUT046,850.7718866738561
FDX24,OUT013,1312.6568800162786
FDZ02,OUT035,1517.9400386881903
FDL46,OUT045,1592.9436694566064
FDS60,OUT027,4887.716216142724
NCO06,OUT017,511.56534235593944
FDO16,OUT035,1503.9697616561025
FDC60,OUT049,1481.0617536784719
FDA48,OUT018,3258.449678954321
FDZ36,OUT027,5315.312097761533
FDK27,OUT045,1748.546823186641
FDW23,OUT018,701.8001111971358
FDM14,OUT018,1422.0282703525934
FDM14,OUT013,1734.193893377413
FDW60,OUT018,2598.9131045582667
FDE21,OUT013,1965.995951667075
NCM42,OUT035,1863.7064337957545
FDY59,OUT010,218.49245455336143
DRI49,OUT049,1268.0149333837917
FDT28,OUT019,389.7477293947043
FDQ22,OUT018,623.2582080240583
FDR60,OUT049,1370.6110072286217
FDC50,OUT019,232.38073305258422
FDV24,OUT013,2362.997545706011
DRF48,OUT010,39.559387560179715
FDQ47,OUT046,619.3184909686313
DRN36,OUT049,1624.7110602036034
NCY06,OUT035,2212.0600226597294
FDE52,OUT035,1456.0418676198763
NCB54,OUT045,1779.817304319797
NCF31,OUT035,2696.1186178858825
FDJ08,OUT027,4936.803867205444
NCC07,OUT017,1641.461547611859
NCD19,OUT027,1443.3562949148413
FDL46,OUT049,2005.7219155641947
FDM20,OUT045,4323.754480279636
NCI06,OUT010,719.3811408472209
DRM11,OUT035,4972.116717062267
NCH07,OUT018,2434.3127490654806
FDS23,OUT013,1943.9416622246747
FDO49,OUT018,652.7843175975737
FDS35,OUT049,1072.4272274661168
DRK39,OUT045,1359.5915530972163
DRI39,OUT049,907.0392571499904
FDV04,OUT017,2112.159872664351
NCN14,OUT035,2978.0906632920437
FDH08,OUT013,3642.076470887328
FDS20,OUT046,3614.6271519594584
FDV40,OUT049,1227.192869630085
FDZ48,OUT010,203.80437423164886
FDS24,OUT027,2493.3349398861023
FDK44,OUT049,2845.597297046894
FDS48,OUT045,2844.2583931135255
FDK26,OUT010,409.7916846543192
FDD23,OUT045,3186.2617524424763
NCH54,OUT017,2793.834997621836
NCP14,OUT010,267.04184950354374
FDM60,OUT010,236.4186816441658
FDV24,OUT017,2415.4730051006272
FDH08,OUT018,2980.4540251387216
FDS12,OUT027,3503.9583646263454
FDR39,OUT027,4758.615482190468
FDP12,OUT027,943.4130577133269
