Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1485.736
FDW14,OUT017,1362.3511
NCN55,OUT010,691.9817
FDQ58,OUT017,2776.6663
FDY38,OUT027,5843.4336
FDH56,OUT046,1918.6982
FDL48,OUT018,601.1841
FDC48,OUT027,2022.2313
FDN33,OUT045,1437.8785
FDA36,OUT017,2362.213
FDT44,OUT017,1754.756
FDQ56,OUT045,1373.5449
NCC54,OUT019,548.3761
FDU11,OUT049,2512.7407
DRL59,OUT013,736.83936
FDM24,OUT049,2293.2021
FDI57,OUT045,3573.8523
DRC12,OUT018,3155.632
NCM42,OUT027,2989.2422
FDA46,OUT010,413.86246
FDA31,OUT013,3093.4128
NCJ31,OUT035,4030.6326
FDG52,OUT046,780.4987
NCL19,OUT019,359.50134
FDS10,OUT035,3428.9036
FDX22,OUT010,554.86536
NCF19,OUT035,822.06744
NCE06,OUT046,2780.1687
DRC27,OUT046,3566.2053
FDE21,OUT035,2885.7422
NCR42,OUT019,-135.25919
FDX51,OUT018,2762.1084
NCR06,OUT018,427.58777
FDU31,OUT027,4947.929
FDU59,OUT017,2664.6228
FDR03,OUT027,5407.33
FDS49,OUT027,2037.2994
FDD48,OUT010,211.77727
NCF18,OUT017,2615.0076
NCD43,OUT027,2170.5796
NCD54,OUT018,1236.9557
FDY19,OUT010,122.5419
NCY54,OUT017,2014.2166
NCL19,OUT018,2105.5461
FDP23,OUT010,291.90918
FDC26,OUT013,1437.2098
FDR14,OUT010,186.88449
NCS41,OUT035,3213.801
FDF41,OUT035,4434.5605
FDU34,OUT046,2071.242
DRH11,OUT046,724.0926
FDM03,OUT013,1958.2578
FDS31,OUT017,3282.2527
FDJ20,OUT017,2102.4658
FDV44,OUT027,4826.035
FDG02,OUT049,2722.014
FDA09,OUT013,3994.1755
FDT04,OUT013,686.45325
FDL58,OUT019,-134.10847
FDE52,OUT045,1323.3597
FDW12,OUT035,2572.9028
FDL51,OUT017,3894.9062
NCY42,OUT027,3581.501
FDR07,OUT017,1287.9022
FDN40,OUT045,2421.9978
FDB35,OUT027,2543.3613
FDA22,OUT017,1880.9504
NCL06,OUT046,5911.612
FDI35,OUT013,3476.4233
NCW42,OUT045,5024.96
NCX06,OUT049,2935.974
FDC37,OUT027,2466.4531
FDZ14,OUT018,1644.007
DRG49,OUT049,4571.913
NCG06,OUT045,2998.8572
DRC36,OUT045,2854.2327
FDV21,OUT019,413.3249
FDB53,OUT046,2923.923
DRP47,OUT019,495.2581
FDA14,OUT013,2236.643
DRC24,OUT035,2495.4543
FDW21,OUT018,2191.1382
NCH29,OUT046,1886.2937
FDU58,OUT013,2640.126
FDY27,OUT017,2546.6934
FDV56,OUT035,1798.3075
FDT59,OUT046,3864.6003
FDB23,OUT046,2760.8403
FDR49,OUT045,805.002
FDB03,OUT010,515.0116
FDN39,OUT045,3103.5237
FDX02,OUT027,5464.289
FDQ16,OUT027,2803.7744
FDU35,OUT018,1497.1653
NCT29,OUT013,2058.8667
FDZ27,OUT046,759.2765
FDN57,OUT017,1858.6829
FDA03,OUT018,2128.9038
FDZ36,OUT045,3640.5408
NCU05,OUT013,1162.5697
FDT39,OUT018,2728.1936
FDK60,OUT017,1576.2722
FDZ25,OUT017,3023.042
FDG12,OUT046,2041.5696
DRB01,OUT019,1126.1356
NCC43,OUT027,6720.617
FDX13,OUT019,612.3144
FDM22,OUT049,1050.6946
FDJ03,OUT027,1495.596
FDU14,OUT018,3835.2957
FDB33,OUT010,534.8037
FDP27,OUT046,3078.9373
FDO38,OUT010,273.7973
FDE28,OUT027,6537.781
FDO27,OUT035,1799.4878
DRL23,OUT027,2388.933
FDS28,OUT046,871.64636
FDX24,OUT013,1414.709
FDZ02,OUT035,1396.6102
FDL46,OUT045,1771.3541
FDS60,OUT027,4755.8276
NCO06,OUT017,393.96768
FDO16,OUT035,1907.2539
FDC60,OUT049,1802.4393
FDA48,OUT018,3656.2646
FDZ36,OUT027,5822.8115
FDK27,OUT045,1773.0984
FDW23,OUT018,606.065
FDM14,OUT018,1443.6532
FDM14,OUT013,1544.9517
FDW60,OUT018,2800.1611
FDE21,OUT013,1698.06
NCM42,OUT035,1778.2917
FDY59,OUT010,153.03316
DRI49,OUT049,1076.0911
FDT28,OUT019,285.0919
FDQ22,OUT018,406.72208
FDR60,OUT049,1127.2919
FDC50,OUT019,211.98143
FDV24,OUT013,2282.7686
DRF48,OUT010,-235.09122
FDQ47,OUT046,502.82532
DRN36,OUT049,1761.3789
NCY06,OUT035,2187.2175
FDE52,OUT035,1531.9398
NCB54,OUT045,1791.2871
NCF31,OUT035,2385.6362
FDJ08,OUT027,3699.476
NCC07,OUT017,1256.9104
NCD19,OUT027,1719.0748
FDL46,OUT049,1847.962
FDM20,OUT045,5110.2466
NCI06,OUT010,703.8694
DRM11,OUT035,5052.1787
NCH07,OUT018,2209.892
FDS23,OUT013,2138.3303
FDO49,OUT018,530.2532
FDS35,OUT049,1067.5098
DRK39,OUT045,1078.326
DRI39,OUT049,870.30237
FDV04,OUT017,2256.4167
NCN14,OUT035,2901.9565
FDH08,OUT013,3656.3745
FDS20,OUT046,3525.3276
FDV40,OUT049,1439.4681
FDZ48,OUT010,69.23267
FDS24,OUT027,2496.096
FDK44,OUT049,2610.681
FDS48,OUT045,2646.4656
FDK26,OUT010,766.13495
FDD23,OUT045,2747.5803
NCH54,OUT017,2952.633
NCP14,OUT010,420.82596
FDM60,OUT010,110.349815
FDV24,OUT017,2157.6667
FDH08,OUT018,3230.1206
FDS12,OUT027,3322.778
FDR39,OUT027,5138.197
FDP12,OUT027,991.34564
DRF60,OUT027,5260.413
FDC09,OUT035,1758.3921
FDF50,OUT018,3442.613
FDG28,OUT035,3819.4143
NCE19,OUT017,846.7571
NCM53,OUT010,-58.97291
NCN18,OUT049,1733.284
FDF32,OUT035,3386.6633
FDF11,OUT013,3271.7327
DRI59,OUT049,3812.3813
NCG54,OUT035,3102.205
FDM44,OUT046,1657.169
FDT57,OUT018,2478.237
FDV24,OUT046,2340.9778
FDI50,OUT019,799.5045
FDS09,OUT035,678.0651
NCC31,OUT027,3662.976
FDQ07,OUT019,326.0972
FDC22,OUT017,3135.0005
FDZ56,OUT046,3036.306
FDZ40,OUT019,333.3822
FDS46,OUT027,3289.344
DRD24,OUT045,1965.1467
FDV45,OUT017,3043.4705
FDL26,OUT045,2617.752
FDA56,OUT018,1820.3727
FDN27,OUT046,1379.4247
FDM20,OUT049,4569.9316
FDO16,OUT017,1446.5986
FDL03,OUT035,3612.9685
FDE58,OUT046,1934.8772
FDI02,OUT027,3254.68
NCC55,OUT019,79.07328
FDR03,OUT018,2913.0447
FDB14,OUT017,1370.8434
FDR45,OUT013,3795.6377
NCN07,OUT017,2282.2793
FDM51,OUT019,347.10992
FDT52,OUT027,5947.7754
FDL26,OUT046,2443.7493
NCZ42,OUT046,4504.823
DRI47,OUT019,581.2349
FDW40,OUT013,2311.1978
FDN34,OUT046,2782.803
FDS01,OUT035,3057.1636
NCG55,OUT045,1756.0995
FDC11,OUT035,1366.6393
FDX35,OUT018,2634.1658
NCB06,OUT046,2686.0452
FDR09,OUT019,518.9606
FDC53,OUT017,1299.1305
FDY45,OUT013,5276.7563
FDA22,OUT010,452.04974
FDE02,OUT035,1665.2992
FDW21,OUT045,2133.6387
FDV34,OUT046,1180.9275
FDS59,OUT049,2659.3066
NCW17,OUT017,2991.6157
NCK54,OUT046,1859.8932
FDG17,OUT019,322.60962
FDG35,OUT017,4089.472
